,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain Inches (last 3 hrs),Snow Inches (last 3 hrs)
0,Barrow,US,2020-02-23 04:11:46,71.29,-156.79,-20.2,75,1,8.05,clear sky,0.0,0.0
1,Juba,SS,2020-02-23 04:11:47,4.85,31.58,79.25,52,66,1.43,broken clouds,0.0,0.0
2,Sorland,NO,2020-02-23 04:11:47,67.67,12.69,38.25,71,100,28.54,overcast clouds,0.0,0.0
3,Rikitea,PF,2020-02-23 04:11:47,-23.12,-134.97,79.86,66,12,6.15,few clouds,0.0,0.0
4,Bluff,NZ,2020-02-23 04:11:47,-46.6,168.33,61.0,75,70,15.99,broken clouds,0.0,0.0
5,Hithadhoo,MV,2020-02-23 04:11:47,-0.6,73.08,83.25,79,100,17.49,overcast clouds,0.0,0.0
6,Mackay,AU,2020-02-23 04:11:48,-21.15,149.2,82.4,78,75,13.87,broken clouds,0.0,0.0
7,Morgan City,US,2020-02-23 04:11:48,29.7,-91.21,53.6,81,1,5.82,clear sky,0.0,0.0
8,Atuona,PF,2020-02-23 04:11:48,-9.8,-139.03,81.77,77,0,12.37,clear sky,0.0,0.0
9,Carnarvon,AU,2020-02-23 04:11:48,-24.87,113.63,82.4,58,0,9.17,clear sky,0.0,0.0
10,Ushuaia,AR,2020-02-23 04:10:07,-54.8,-68.3,50.0,71,40,25.28,scattered clouds,0.0,0.0
11,Nikolskoye,RU,2020-02-23 04:11:49,59.7,30.79,39.2,84,40,13.42,scattered clouds,0.0,0.0
12,Umm Bab,QA,2020-02-23 04:11:49,25.21,50.81,70.0,93,20,6.82,mist,0.0,0.0
13,Chipinge,ZW,2020-02-23 04:11:49,-20.19,32.62,67.55,89,100,3.42,overcast clouds,0.0,0.0
14,Lebu,CL,2020-02-23 04:11:49,-37.62,-73.65,50.9,97,5,3.33,clear sky,0.0,0.0
15,Sangueya,GN,2020-02-23 04:11:49,10.7,-14.37,74.3,80,62,2.51,broken clouds,0.0,0.0
16,Jalu,LY,2020-02-23 04:11:49,29.03,21.55,51.44,72,0,11.43,clear sky,0.0,0.0
17,Norrtalje,SE,2020-02-23 04:11:50,59.76,18.7,42.01,69,75,19.46,broken clouds,0.0,0.0
18,Kidal,ML,2020-02-23 04:11:50,18.44,1.41,70.92,11,79,11.34,broken clouds,0.0,0.0
19,Georgetown,MY,2020-02-23 04:11:50,5.41,100.34,86.0,62,20,10.29,few clouds,0.0,0.0
20,Provideniya,RU,2020-02-23 04:11:50,64.38,-173.3,-9.22,82,0,2.42,clear sky,0.0,0.0
21,East London,ZA,2020-02-23 04:11:50,-33.02,27.91,67.21,67,92,17.0,light rain,0.25,0.0
22,Saint George,US,2020-02-23 04:11:51,37.1,-113.58,45.0,93,90,3.36,light rain,0.0,0.0
23,Vrangel,RU,2020-02-23 04:11:51,42.73,133.08,28.6,61,0,32.44,clear sky,0.0,0.0
24,Jamestown,US,2020-02-23 04:11:51,42.1,-79.24,37.99,75,1,8.05,clear sky,0.0,0.0
25,Carauari,BR,2020-02-23 04:11:51,-4.88,-66.9,75.11,93,100,1.21,overcast clouds,0.0,0.0
26,Lorengau,PG,2020-02-23 04:11:51,-2.02,147.27,83.62,67,0,3.71,clear sky,0.0,0.0
27,Nolinsk,RU,2020-02-23 04:11:52,57.56,49.94,28.33,90,96,15.55,overcast clouds,0.0,0.0
28,Punta Arenas,CL,2020-02-23 04:09:48,-53.15,-70.92,51.01,66,20,9.17,few clouds,0.0,0.0
29,Hobart,AU,2020-02-23 04:11:52,-42.88,147.33,79.0,52,20,18.34,few clouds,0.0,0.0
30,Evensk,RU,2020-02-23 04:11:52,61.95,159.23,-5.19,93,100,2.44,overcast clouds,0.0,0.0
31,Susanville,US,2020-02-23 04:08:46,40.42,-120.65,41.0,44,1,8.05,clear sky,0.0,0.0
32,Kisangani,CD,2020-02-23 04:11:52,0.52,25.2,74.48,69,71,2.51,broken clouds,0.0,0.0
