,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Juba,SS,79.25,broken clouds,4.85,31.58,ROYAL PALACE HOTEL - JUBA
3,Rikitea,PF,79.86,few clouds,-23.12,-134.97,Pension Maro'i
4,Bluff,NZ,61.0,broken clouds,-46.6,168.33,Bluff Homestead - Guesthouse & Campervan Park
7,Morgan City,US,53.6,clear sky,29.7,-91.21,Hampton Inn & Suites Morgan City
10,Ushuaia,AR,50.0,scattered clouds,-54.8,-68.3,Albatros Hotel
12,Umm Bab,QA,70.0,mist,25.21,50.81,
13,Chipinge,ZW,67.55,overcast clouds,-20.19,32.62,Mutare Club
14,Lebu,CL,50.9,clear sky,-37.62,-73.65,Hostal Las Lilas
15,Sangueya,GN,74.3,broken clouds,10.7,-14.37,
16,Jalu,LY,51.44,clear sky,29.03,21.55,Jalu Hotel
17,Norrtalje,SE,42.01,broken clouds,59.76,18.7,Norrtälje Vandrarhem Hvilan
18,Kidal,ML,70.92,broken clouds,18.44,1.41,
22,Saint George,US,45.0,light rain,37.1,-113.58,Best Western Plus Abbey Inn Hotel & Conference Center
25,Carauari,BR,75.11,overcast clouds,-4.88,-66.9,Pousada Lobo
28,Punta Arenas,CL,51.01,few clouds,-53.15,-70.92,Hotel Dreams Del Estrecho
29,Hobart,AU,79.0,few clouds,-42.88,147.33,St Ives Apartments
31,Susanville,US,41.0,clear sky,40.42,-120.65,Red Lion Inn & Suites Susanville
32,Kisangani,CD,74.48,broken clouds,0.52,25.2,Grand Ramela Hotel
35,San Patricio,MX,76.64,clear sky,19.22,-104.7,Hotel Cabo Blanco
38,North Bend,US,48.99,broken clouds,43.41,-124.22,Red Lion Hotel Coos Bay
43,Coquimbo,CL,59.0,clear sky,-29.95,-71.34,Hotel San Juan
44,Zhangye,CN,48.87,clear sky,38.93,100.45,Zhangye Lvzhou Holiday Inn
45,Kapaa,US,78.8,scattered clouds,22.08,-159.32,Sheraton Kauai Resort at Coconut Beach
57,Ribeira Grande,PT,53.44,clear sky,38.52,-28.7,Quinta da Meia Eira
59,Montepuez,MZ,70.9,overcast clouds,-13.13,39.0,RESIDÊNCIAL LANCHONETE
60,Buraydah,SA,55.4,clear sky,26.33,43.98,Mövenpick Hotel Qassim
62,Wukari,NG,78.8,clear sky,7.85,9.78,Elimtop
64,Jalingo,NG,75.38,clear sky,8.88,11.37,Debright Motel
65,Skibbereen,IE,53.6,light rain,51.55,-9.27,The West Cork Hotel
