City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Rikitea,PF,2020-02-21 23:46:38,-23.12,-134.97,79.11,61,33,5.03
1,Acapulco,MX,2020-02-21 23:43:53,16.86,-99.89,84.2,74,20,10.29
2,Victoria,HK,2020-02-21 23:45:11,22.29,114.16,66.0,82,0,2.24
3,Bredasdorp,ZA,2020-02-21 23:46:39,-34.53,20.04,68.0,82,19,3.36
4,Lebu,CL,2020-02-21 23:46:39,-37.62,-73.65,57.56,85,0,2.39
5,Narsaq,GL,2020-02-21 23:46:39,60.92,-46.05,21.2,67,60,2.24
6,Hilo,US,2020-02-21 23:46:39,19.73,-155.09,75.0,83,90,8.05
7,Sept-Iles,CA,2020-02-21 23:43:03,50.2,-66.38,17.6,67,75,14.99
8,Pangnirtung,CA,2020-02-21 23:41:44,66.15,-65.71,-34.6,65,20,4.7
9,Vestmannaeyjar,IS,2020-02-21 23:46:40,63.44,-20.27,34.16,74,100,12.82
10,Avarua,CK,2020-02-21 23:42:03,-21.21,-159.78,84.2,83,42,9.17
11,Chuy,UY,2020-02-21 23:46:40,-33.7,-53.46,59.61,63,62,12.39
12,Puerto Ayacucho,VE,2020-02-21 23:46:40,5.66,-67.62,93.2,38,58,11.41
13,Chokurdakh,RU,2020-02-21 23:46:40,70.63,147.92,-21.24,97,34,2.21
14,Mataura,NZ,2020-02-21 23:46:40,-46.19,168.86,54.0,79,97,11.01
15,Tiksi,RU,2020-02-21 23:46:41,71.69,128.87,-8.28,87,97,5.53
16,Saldanha,ZA,2020-02-21 23:46:41,-33.01,17.94,66.2,77,0,13.87
17,Atuona,PF,2020-02-21 23:46:41,-9.8,-139.03,82.4,72,96,16.73
18,Albany,US,2020-02-21 23:45:07,42.6,-73.97,28.4,46,1,4.7
19,Inirida,CO,2020-02-21 23:46:41,3.87,-67.92,82.27,63,75,0.81
20,Svetlaya,RU,2020-02-21 23:46:42,46.54,138.33,21.29,95,100,13.02
21,Yar-Sale,RU,2020-02-21 23:46:42,66.83,70.83,3.92,84,0,8.5
22,Yulara,AU,2020-02-21 23:46:42,-25.24,130.99,80.6,24,9,16.11
23,Hanna,CA,2020-02-21 23:46:42,51.63,-111.9,29.25,64,46,4.7
24,Mahebourg,MU,2020-02-21 23:46:43,-20.41,57.7,77.0,73,40,4.7
25,Tasiilaq,GL,2020-02-21 23:46:43,65.61,-37.64,15.8,66,97,3.8
26,Littlehampton,GB,2020-02-21 23:46:43,50.81,-0.54,50.0,76,75,23.04
27,Qaanaaq,GL,2020-02-21 23:46:43,77.48,-69.36,-19.77,47,83,3.49
28,Punta Arenas,CL,2020-02-21 23:44:05,-53.15,-70.92,62.6,63,75,25.28
29,Sakakah,SA,2020-02-21 23:46:44,29.97,40.21,51.8,53,17,12.75
30,Yellowknife,CA,2020-02-21 23:46:44,62.46,-114.35,14.0,78,20,12.75
31,Port Alfred,ZA,2020-02-21 23:46:44,-33.59,26.89,68.0,95,23,3.09
32,Verkhoyansk,RU,2020-02-21 23:46:44,67.54,133.38,-4.32,97,100,2.68
33,Port Pirie,AU,2020-02-21 23:46:44,-33.18,138.02,68.0,60,0,5.82
34,Yangliuqing,CN,2020-02-21 23:46:45,39.14,117.0,37.0,34,0,6.71
35,Manado,ID,2020-02-21 23:43:59,1.49,124.85,75.2,100,40,2.24
36,Te Anau,NZ,2020-02-21 23:43:21,-45.42,167.72,53.02,60,31,5.3
37,Kailua,US,2020-02-21 23:44:45,21.4,-157.74,82.4,65,40,13.87
38,Vaini,TO,2020-02-21 23:46:46,-21.2,-175.2,82.4,78,75,12.75
39,Castro,BR,2020-02-21 23:46:46,-24.79,-50.01,64.69,99,17,8.55
40,Mount Gambier,AU,2020-02-21 23:46:46,-37.83,140.77,62.6,67,40,9.17
41,Ushuaia,AR,2020-02-21 23:46:46,-54.8,-68.3,59.0,71,75,23.04
42,Ugoofaaru,MV,2020-02-21 23:46:47,5.67,73.0,82.62,78,69,16.02
43,Ust-Tsilma,RU,2020-02-21 23:46:47,65.44,52.15,20.05,88,100,9.71
44,Shingu,JP,2020-02-21 23:46:47,33.73,135.98,55.4,82,75,17.22
45,Saint-Augustin,CA,2020-02-21 23:46:47,51.23,-58.65,0.64,87,0,14.52
46,Tautira,PF,2020-02-21 23:46:47,-17.73,-149.15,87.8,62,20,5.82
47,Kiunga,PG,2020-02-21 23:46:48,-6.12,141.29,78.93,87,100,2.15
48,Hobart,AU,2020-02-21 23:46:48,-42.88,147.33,70.0,44,88,11.41
49,Kapaa,US,2020-02-21 23:46:48,22.08,-159.32,78.8,65,1,18.34
50,Vila Franca Do Campo,PT,2020-02-21 23:46:48,37.72,-25.43,50.0,81,20,5.82
51,Turbat,PK,2020-02-21 23:46:48,26.0,63.04,64.18,46,0,3.42
52,Busselton,AU,2020-02-21 23:46:49,-33.65,115.33,75.0,48,100,11.41
